idx,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,PINCP,RAC1P
0,32.0,2.0,19.0,5.0,5510.0,2.0,7.0,40.0,2.0,1,1
1,61.0,4.0,16.0,1.0,4220.0,2.0,1.0,40.0,1.0,0,0
2,65.0,2.0,21.0,1.0,6200.0,2.0,0.0,35.0,1.0,1,0
3,38.0,1.0,17.0,4.0,310.0,46.0,0.0,30.0,2.0,0,1
4,50.0,1.0,21.0,1.0,3255.0,328.0,0.0,50.0,2.0,1,0
5,44.0,4.0,21.0,1.0,5700.0,332.0,1.0,40.0,1.0,0,0
6,49.0,3.0,19.0,5.0,5120.0,2.0,0.0,30.0,1.0,0,0
7,18.0,3.0,14.0,5.0,5700.0,2.0,3.0,18.0,1.0,0,0
8,22.0,3.0,16.0,5.0,3850.0,2.0,0.0,50.0,1.0,0,0
9,53.0,1.0,19.0,3.0,3030.0,36.0,0.0,40.0,2.0,0,1
10,17.0,1.0,19.0,5.0,4720.0,36.0,2.0,32.0,2.0,0,1
11,51.0,6.0,20.0,1.0,7200.0,2.0,0.0,60.0,1.0,0,1
12,49.0,1.0,16.0,1.0,5310.0,36.0,1.0,40.0,2.0,0,1
13,42.0,7.0,23.0,1.0,2100.0,27.0,0.0,25.0,2.0,1,1
14,47.0,1.0,22.0,1.0,3160.0,34.0,1.0,35.0,1.0,1,1
15,52.0,4.0,20.0,3.0,5820.0,2.0,0.0,36.0,2.0,1,0
16,52.0,1.0,16.0,5.0,430.0,53.0,13.0,40.0,1.0,0,1
17,63.0,6.0,20.0,3.0,10.0,2.0,0.0,16.0,2.0,0,0
18,38.0,1.0,19.0,5.0,5510.0,2.0,2.0,40.0,1.0,0,0
19,74.0,2.0,21.0,2.0,2000.0,2.0,0.0,40.0,2.0,1,0
20,27.0,1.0,19.0,5.0,9130.0,2.0,0.0,45.0,1.0,0,0
21,63.0,2.0,21.0,1.0,100.0,55.0,0.0,40.0,2.0,1,1
22,65.0,2.0,20.0,1.0,430.0,4.0,1.0,40.0,1.0,1,1
23,54.0,4.0,16.0,1.0,2540.0,2.0,0.0,21.0,2.0,0,0
24,53.0,3.0,19.0,1.0,8620.0,2.0,1.0,40.0,1.0,0,0
25,28.0,3.0,11.0,5.0,3850.0,2.0,2.0,30.0,1.0,0,0
26,61.0,1.0,19.0,3.0,4965.0,26.0,0.0,39.0,2.0,0,1
27,28.0,3.0,18.0,1.0,2025.0,2.0,0.0,35.0,2.0,0,0
28,30.0,1.0,19.0,1.0,7340.0,2.0,1.0,50.0,1.0,0,0
29,56.0,1.0,16.0,3.0,4060.0,6.0,0.0,32.0,2.0,0,1
30,28.0,1.0,18.0,5.0,5410.0,2.0,2.0,35.0,1.0,0,1
31,59.0,1.0,16.0,1.0,220.0,2.0,0.0,30.0,1.0,1,1
32,62.0,2.0,22.0,1.0,2040.0,36.0,0.0,50.0,1.0,1,1
33,64.0,2.0,16.0,1.0,4600.0,18.0,1.0,40.0,2.0,0,1
34,63.0,5.0,21.0,1.0,5000.0,31.0,0.0,40.0,1.0,1,1
35,63.0,3.0,21.0,1.0,2310.0,31.0,1.0,16.0,2.0,0,1
36,39.0,1.0,16.0,3.0,4760.0,110.0,2.0,40.0,1.0,0,1
37,33.0,6.0,18.0,1.0,2630.0,49.0,0.0,40.0,1.0,1,1
38,32.0,2.0,21.0,1.0,850.0,132.0,0.0,50.0,1.0,1,1
39,29.0,2.0,19.0,1.0,5400.0,233.0,1.0,40.0,2.0,0,0
40,56.0,3.0,22.0,1.0,2310.0,6.0,0.0,40.0,2.0,1,1
41,57.0,1.0,19.0,1.0,7410.0,32.0,1.0,40.0,1.0,1,1
42,30.0,1.0,21.0,4.0,5940.0,53.0,0.0,40.0,2.0,0,1
43,35.0,5.0,19.0,3.0,565.0,53.0,12.0,40.0,1.0,1,1
44,70.0,2.0,19.0,2.0,4030.0,34.0,0.0,12.0,2.0,0,1
45,63.0,1.0,21.0,1.0,5120.0,41.0,0.0,30.0,2.0,1,1
46,65.0,1.0,21.0,1.0,4700.0,41.0,1.0,50.0,1.0,1,1
47,36.0,1.0,16.0,1.0,4610.0,53.0,0.0,35.0,2.0,0,1
48,47.0,6.0,16.0,1.0,6200.0,30.0,1.0,40.0,1.0,0,1
49,19.0,1.0,16.0,5.0,7800.0,8.0,2.0,30.0,2.0,0,1
50,39.0,1.0,19.0,1.0,5700.0,2.0,0.0,40.0,2.0,0,0
51,34.0,1.0,19.0,1.0,6355.0,2.0,1.0,50.0,1.0,1,0
52,18.0,3.0,16.0,5.0,4220.0,2.0,10.0,4.0,2.0,0,0
53,29.0,1.0,16.0,1.0,6260.0,8.0,0.0,40.0,1.0,0,1
54,27.0,1.0,22.0,1.0,2200.0,4.0,1.0,35.0,2.0,0,1
55,26.0,4.0,22.0,5.0,2310.0,2.0,0.0,50.0,1.0,0,1
56,56.0,2.0,16.0,3.0,7700.0,2.0,0.0,42.0,1.0,1,1
57,31.0,3.0,16.0,5.0,8620.0,2.0,0.0,20.0,1.0,0,0
58,35.0,1.0,19.0,3.0,6320.0,6.0,0.0,45.0,1.0,1,1
59,39.0,3.0,16.0,3.0,6730.0,2.0,0.0,40.0,1.0,0,0
60,28.0,1.0,16.0,5.0,9300.0,2.0,15.0,40.0,1.0,0,0
61,67.0,1.0,19.0,1.0,5120.0,6.0,1.0,40.0,2.0,1,0
62,70.0,3.0,22.0,2.0,2330.0,15.0,0.0,60.0,2.0,1,1
63,36.0,3.0,22.0,1.0,2310.0,26.0,0.0,35.0,1.0,1,1
