idx,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,PINCP,RAC1P
0,54.0,2.0,15.0,1.0,6230.0,15.0,0.0,40.0,1.0,1,0
1,54.0,1.0,14.0,1.0,4220.0,511.0,1.0,4.0,2.0,0,0
2,30.0,5.0,21.0,1.0,9820.0,15.0,0.0,70.0,2.0,1,1
3,30.0,4.0,22.0,1.0,2310.0,15.0,1.0,40.0,1.0,1,1
4,75.0,6.0,23.0,1.0,2100.0,28.0,0.0,10.0,1.0,1,1
5,45.0,5.0,23.0,5.0,3060.0,17.0,0.0,50.0,1.0,1,1
6,34.0,1.0,16.0,1.0,350.0,15.0,0.0,40.0,2.0,0,0
7,41.0,1.0,16.0,1.0,6200.0,15.0,1.0,50.0,1.0,1,0
8,46.0,2.0,24.0,1.0,2200.0,523.0,1.0,40.0,1.0,1,0
9,21.0,1.0,18.0,5.0,6515.0,15.0,2.0,20.0,1.0,0,0
10,54.0,1.0,19.0,1.0,4720.0,15.0,0.0,30.0,2.0,1,1
11,55.0,5.0,20.0,1.0,9820.0,15.0,1.0,40.0,1.0,1,0
12,36.0,1.0,20.0,1.0,6260.0,15.0,0.0,40.0,1.0,0,0
13,32.0,4.0,21.0,1.0,2310.0,15.0,1.0,50.0,2.0,1,0
14,57.0,1.0,16.0,2.0,150.0,15.0,6.0,40.0,2.0,1,0
15,28.0,6.0,24.0,5.0,3245.0,240.0,0.0,45.0,2.0,0,0
16,43.0,1.0,18.0,3.0,4720.0,15.0,0.0,65.0,2.0,1,0
17,50.0,7.0,16.0,5.0,7220.0,15.0,13.0,60.0,1.0,1,0
18,65.0,1.0,22.0,1.0,1107.0,209.0,0.0,40.0,1.0,1,0
19,63.0,1.0,18.0,1.0,5700.0,209.0,1.0,40.0,2.0,0,0
20,55.0,1.0,16.0,1.0,5840.0,15.0,0.0,38.0,2.0,1,0
21,52.0,6.0,16.0,1.0,2800.0,32.0,1.0,8.0,1.0,0,0
22,65.0,5.0,16.0,1.0,5540.0,15.0,1.0,40.0,2.0,0,0
23,62.0,1.0,20.0,1.0,140.0,209.0,0.0,60.0,1.0,1,0
24,57.0,1.0,16.0,1.0,7855.0,209.0,1.0,60.0,2.0,0,0
25,30.0,1.0,16.0,5.0,4020.0,209.0,15.0,16.0,1.0,0,0
26,58.0,1.0,19.0,2.0,4760.0,53.0,0.0,34.0,2.0,1,1
27,34.0,1.0,16.0,5.0,5860.0,15.0,2.0,40.0,2.0,0,0
28,30.0,1.0,16.0,1.0,4130.0,15.0,9.0,40.0,1.0,1,0
29,58.0,3.0,20.0,5.0,3850.0,15.0,0.0,40.0,2.0,1,1
30,46.0,6.0,16.0,5.0,4760.0,15.0,0.0,40.0,1.0,0,0
31,47.0,1.0,17.0,4.0,4510.0,15.0,13.0,50.0,2.0,0,0
32,52.0,4.0,22.0,5.0,2320.0,15.0,0.0,60.0,1.0,1,0
33,23.0,1.0,19.0,5.0,4150.0,15.0,10.0,55.0,1.0,0,0
34,40.0,1.0,20.0,4.0,4200.0,15.0,11.0,50.0,2.0,0,0
35,58.0,1.0,21.0,1.0,4920.0,6.0,1.0,30.0,2.0,1,1
36,27.0,1.0,21.0,5.0,4920.0,15.0,2.0,30.0,2.0,0,0
37,56.0,1.0,17.0,1.0,4720.0,15.0,0.0,8.0,2.0,0,0
38,61.0,1.0,20.0,1.0,3930.0,15.0,0.0,8.0,1.0,1,1
